,output,description,unit
0,day,time_unit,day
1,inc_case_mean,Mean of incidence of cases occurring on that day.,cases
2,inc_case_var,Variance of incidence of cases occurring on that day.,cases squared
3,inc_death_mean,Mean of incidence of non-hospital deaths occurring on that day,deaths
4,inc_death_var,Variance of incidence of non-hospital deaths occurring on that day,deaths squared
5,inc_death_hospital_mean,Mean of incidence of hospital deaths on that day.,deaths
6,inc_death_hospital_var,Variance of incidence of hospital deaths on that day.,deaths squared
7,age_0_S_mean,"Mean number of susceptible individuals (not infected), in age group 0 (under 20).",individuals
8,age_0_S_var,"Variance of number of susceptible individuals (not infected), in age group 0 (under 20).",individuals squared
9,age_0_E_mean,"Mean of number of infected individuals but not yet infectious (exposed), in age group 0 (under 20).",individuals
10,age_0_E_var,"Variance of number of infected individuals but not yet infectious (exposed), in age group 0 (under 20).",individuals squared
11,age_0_H_mean,"Mean of number of infected individuals that are hospitalised, in age group 0 (under 20).",individuals
12,age_0_H_var,"Variance of number of infected individuals that are hospitalised, in age group 0 (under 20).",individuals squared
13,age_0_R_mean,"Mean of number of infected individuals that are recovered from infection, in age group 0 (under 20).",individuals
14,age_0_R_var,"Variance of number of infected individuals that are recovered from infection, in age group 0 (under 20).",individuals squared
15,age_0_D_mean,"Mean of number of dead individuals due to disease, in age group 0 (under 20).",individuals
16,age_0_D_var,"Variance of number of dead individuals due to disease, in age group 0 (under 20).",individuals squared
17,age_0_I_mean,"Mean of number of infected and infectious asymptomatic individuals, in age group 0 (under 20).",individuals
18,age_0_I_var,"Variance of number of infected and infectious asymptomatic individuals, in age group 0 (under 20).",individuals squared
19,age_0_IS_mean,"Mean of number of infected and infectious symptomatic individuals, in age group 0 (under 20).",individuals
20,age_0_IS_var,"Variance of number of infected and infectious symptomatic individuals, in age group 0 (under 20).",individuals squared
21,age_1_S_mean,"Mean number of susceptible individuals (not infected), in age group 1 (20-29).",individuals
22,age_1_S_var,"Variance of number of susceptible individuals (not infected), in age group 1 (20-29).",individuals squared
23,age_1_E_mean,"Mean of number of infected individuals but not yet infectious (exposed), in age group 1 (20-29).",individuals
24,age_1_E_var,"Variance of number of infected individuals but not yet infectious (exposed), in age group 1 (20-29).",individuals squared
25,age_1_H_mean,"Mean of number of infected individuals that are hospitalised, in age group 1 (20-29).",individuals
26,age_1_H_var,"Variance of number of infected individuals that are hospitalised, in age group 1 (20-29).",individuals squared
27,age_1_R_mean,"Mean of number of infected individuals that are recovered from infection, in age group 1 (20-29).",individuals
28,age_1_R_var,"Variance of number of infected individuals that are recovered from infection, in age group 1 (20-29).",individuals squared
29,age_1_D_mean,"Mean of number of dead individuals due to disease, in age group 1 (20-29).",individuals
30,age_1_D_var,"Variance of number of dead individuals due to disease, in age group 1 (20-29).",individuals squared
31,age_1_I_mean,"Mean of number of infected and infectious asymptomatic individuals, in age group 1 (20-29).",individuals
32,age_1_I_var,"Variance of number of infected and infectious asymptomatic individuals, in age group 1 (20-29).",individuals squared
33,age_1_IS_mean,"Mean of number of infected and infectious symptomatic individuals, in age group 1 (20-29).",individuals
34,age_1_IS_var,"Variance of number of infected and infectious symptomatic individuals, in age group 1 (20-29).",individuals squared
35,age_2_S_mean,"Mean number of susceptible individuals (not infected), in age group 2 (30-39).",individuals
